epoch,loss,val_dice
5,0.7241955128583041,0.1357302963733673
10,0.6996004310521212,0.1467543542385101
15,0.6658214764161543,0.1357455998659134
20,0.6518515565178611,0.1569423377513885
25,0.6594822352582758,0.1665466427803039
30,0.6191948381337252,0.1673406362533569
35,0.5807956375859,0.1765330880880355
40,0.5548719005151228,0.2480847984552383
45,0.5491899279030886,0.3557514250278473
50,0.5327899591489271,0.4254967272281647
55,0.5089889331297441,0.4474000036716461
60,0.5217191089283336,0.4671599268913269
65,0.4542215954173695,0.5820999145507812
70,0.4459724426269531,0.5984216928482056
75,0.393437840721824,0.5804557800292969
80,0.3583656007593328,0.6206232309341431
85,0.33253258737650787,0.6243540048599243
90,0.30818757821213116,0.6951415538787842
95,0.3004752519455823,0.664201021194458
100,0.2775046486746181,0.7284698486328125
